"uuid";"unique_person_id";"role";"sex"
"7b185532-525e-ed58-fac7-b00303afa10d";0;"[2, 3]";"m"
"0485e974-18b6-c4d4-1006-77023ee4c578";0;"[1]";"m"
"85aefa24-a41a-19af-72d1-3e7b01ea39a0";0;"[4]";"m"
"daba34c8-81c4-285a-bf09-9bb93db88370";0;"[5]";"m"
"4dbbd5d8-9dac-0dfe-7321-26a1311b0548";0;"[6]";"m"
"e7b998a2-941a-6403-8367-ee565c1bcbe2";1;"[2, 3]";"v"
"bf31a4e2-3080-a5de-4b11-1c316b68a39f";1;"[1]";"v"
"8224a334-0ad4-8320-6041-e98ac494ff16";1;"[4]";"v"
"4f7069b4-1874-599f-7300-ed9750ac449a";1;"[5]";"v"
"44bc5c25-d22d-5272-7200-c0d76b05c7d2";1;"[6]";"v"
"757cd139-aad5-9955-6844-9cda1d350d1d";2;"[2, 3]";"m"
"3c556ad7-fc90-7ef9-98a5-b63e4c109cbb";2;"[1]";"m"
"610e52f8-5de9-890e-684f-18cc84123a3a";2;"[4]";"m"
"638f88be-6cf8-ffd1-f518-c384423f7b8d";2;"[6]";"m"
"815736cc-03ed-1c1f-dc81-679c1867d15a";2;"[5]";"m"
"704a1605-d077-0aad-8981-f7406d93b033";2;"[5]";"m"
"4dc65798-0d28-d9d2-85a4-960919c624b6";2;"[1]";"m"
"0ae06d00-2d8b-651d-fc5a-4e4a9376f1ff";2;"[2, 3]";"m"
"36455be2-f7ce-6bb4-657f-36405d1fefa3";2;"[2, 3]";"m"
"8380daf9-1332-5c35-f7c2-ad583a8bb403";2;"[4]";"m"
"8864d018-e622-d272-54f6-0a7b20dbfb13";2;"[4]";"m"
"fc08f20a-9d2a-790a-8b09-333150cb9128";3;"[2, 3]";"v"
"137ad49a-6bdb-19d2-a6a0-c1121b399740";3;"[1]";"v"
"ba31a328-bce4-cf13-eae0-9fbb7d17827d";3;"[4]";"v"
"478a9db1-f49c-b3c4-0603-7f8e24966f2d";3;"[6]";"v"
"ce0bfaf5-e0c4-c32e-b48c-9a63a060db95";3;"[5]";"v"
"12efcd50-aa16-4db0-b543-8c0d6d726366";4;"[2, 3]";"m"
"b1ab99b5-85e5-ada3-e1d2-cd87dad42f9d";4;"[1]";"m"
"f789a67d-a1dd-30f2-50e0-98076c79ddb6";4;"[2, 3]";"m"
"bb120d53-9aef-7d6e-9a58-4bfde5a8e42f";4;"[2, 3]";"m"
"cf3db7ff-b6bd-e837-568f-b1bcef4df493";4;"[4]";"m"
"6bebc280-6c88-4e78-8dc8-89938ae171b4";4;"[4]";"m"
"0299a23f-55a3-a44e-ed9e-315db74666b9";4;"[4]";"m"
"e5c9675b-eb11-3d89-1adb-d2304411369a";4;"[5]";"m"
"ff2e2f56-117d-57cd-ca6f-d6d4587abe7b";4;"[5]";"v"
"69391cbb-bc2f-011c-6d60-289dc33c79a8";4;"[6]";"m"
"946ab0e8-a900-be6c-9952-2b6d7cff8ea8";4;"[6]";"m"
"0ec8bc94-ed2a-144e-1fe7-450c31b08213";5;"[2, 3]";"v"
"482ad10e-6fa2-0d43-3925-075419d631fb";5;"[1]";"v"
"b6d7b5de-4934-eecf-ec3b-6cee3c04e4e7";5;"[2, 3]";"v"
"224a634f-4585-9803-ef5d-7883493da647";5;"[2, 3]";"v"
"16e060cf-1354-375d-c84e-238fecc4b630";5;"[4]";"v"
"4e495928-7d63-3752-f78c-9cf429544778";5;"[4]";"v"
"41d13287-dba7-22a8-6481-3f8256c95e2b";5;"[4]";"v"
"4e69639d-5f1f-e2df-3de6-7a1a876267ae";5;"[5]";"v"
"3e711e22-1696-aa6c-30de-4a6ff5e58669";5;"[6]";"v"
"93d7437c-ce1a-61a8-27a2-3329d6441659";5;"[6]";"v"
"bdb8ad80-f062-b4bb-dad6-c3daede3f71b";6;"[2, 3]";"m"
"aedff008-6109-dd4b-60db-874f310cc628";6;"[1]";"m"
"9a4e842a-b10f-3772-8181-5e10b8d4163b";6;"[2, 3]";"m"
"9fe58806-7642-ddf8-69fc-b0183c52b08d";6;"[2, 3]";"m"
"e3412b40-a9d2-50c0-3d47-b42555d08e30";6;"[4]";"m"
"20c5910a-0600-19ce-c885-82f9c90c774b";6;"[4]";"m"
"fe0f76c9-c5b9-2adc-05fc-32974c73626b";6;"[4]";"m"
"c04007fe-76ce-0ba4-6d58-b92518fb1a65";6;"[4]";"m"
"bb4a1434-040d-7a8d-ee63-2e0031d95658";6;"[4]";"m"
"6e28faa8-07a2-ab89-50da-325aa43aef7d";6;"[4]";"m"
"6d36634d-074b-2e0c-9f45-e6874df00e48";6;"[5]";"m"
"69f8a404-0c91-f77b-916b-349f49dbe343";6;"[6]";"m"
"c64cafaf-47eb-6130-7025-2affae68fe92";6;"[5]";"m"
"4665d3d8-3c4e-830a-356c-08ff9408d29b";7;"[2, 3]";"v"
"96228e9e-8c92-1791-6814-6b1c60e114b1";7;"[1]";"v"
"bfe6ab2f-8269-1dcc-a6ad-d4af51a651a8";7;"[2, 3]";"v"
"75adc114-9d82-b2a8-222c-263b18fe3c3c";7;"[2, 3]";"v"
"5eef72f2-748b-3a2a-574d-b0bb2234bea4";7;"[4]";"v"
"daa80320-7133-499d-5580-dda2da177e95";7;"[4]";"v"
"22e0050f-4a9c-408a-a382-d62ac8f86e02";7;"[4]";"v"
"0cb24214-fe79-c7fc-2939-9f9f9c2060bb";7;"[4]";"v"
"3be1b910-e3f4-006e-9a51-115299f2ab79";7;"[4]";"v"
"7b13c638-ac68-3b5c-1691-8479727d3499";7;"[4]";"v"
"af02d179-e277-52cd-2133-0cf83f03de96";7;"[5]";"v"
"2bd6146c-339f-790c-92da-05ceed702df9";7;"[6]";"v"
"40d079bf-1ca1-5d6e-50c8-73f1b02553aa";7;"[5]";"v"
"acb99acf-aaab-630e-245c-57d4eb15c15d";8;"[2, 3]";"m"
"c712652f-cf22-58ea-384d-3b406126772e";8;"[1]";"m"
"b61b04b5-d2d8-a2d9-9e76-788a1b14f92e";8;"[2, 3]";"m"
"c5e61648-7c5b-fc7d-5135-2d561716fb1b";8;"[2, 3]";"m"
"b51029c5-a8f9-a559-39ba-90ce22c097cd";8;"[2, 3]";"m"
"b0c0614a-0666-7321-6f28-c740316e206e";8;"[2, 3]";"m"
"2ec3ee56-5fc1-852e-11d1-ca2f9b7598dd";8;"[4]";"m"
"73142946-dcff-00c9-d551-25f72504ae73";8;"[4]";"m"
"d64012c8-804f-08cf-0029-5cccd2bf3da2";8;"[4]";"m"
"fb8ca8b6-51cc-756a-3fbc-be8a4d81f3bc";8;"[4]";"m"
"d0b0b01f-06e7-6065-43f9-082fd7a9ce50";8;"[4]";"m"
"ee4c45ab-7c4d-7559-efe6-159b6a544481";8;"[4]";"m"
"d99533b7-2694-90ee-aaac-a2f340fdc931";8;"[4]";"m"
"15aaf3b6-acf0-2745-e7f0-b30b4455e163";8;"[5]";"m"
"60c0c049-168f-ee9b-7b92-b48cad677d77";8;"[5]";"m"
"8e2e785f-7f00-4ac0-5f61-7ad2f28b3ed5";8;"[6]";"m"
"70ec8db7-944b-c943-d683-369584c7dd65";8;"[6]";"m"
"b922deb3-6437-b917-d40e-c16e869b38b3";8;"[6]";"m"
"5f8f584c-b1a3-29d3-06c8-9790f5eaf674";8;"[6]";"m"
"b550e053-e935-0c17-7289-dd2ae04de2e3";8;"[6]";"m"
"1d3d52a4-a4fa-8522-561b-1313c35b7a33";9;"[2, 3]";"v"
"0481cf93-0ed7-6201-3c6a-be6c0f722ee5";9;"[1]";"v"
"73fb7e4d-c216-3fc1-e316-7c335e57948c";9;"[2, 3]";"v"
"7349382e-1856-3ee8-2a2f-1c2bc63742d0";9;"[2, 3]";"v"
"9f0db49b-e3e2-d0da-112e-15914d068ef1";9;"[2, 3]";"v"
"35e5cf97-90ed-c705-30e2-3d4cbebaf4f2";9;"[2, 3]";"v"
"23326bea-9101-833e-c817-34a4cf144df7";9;"[4]";"v"
"63d4d305-2dae-081a-7e98-f25a46996ebb";9;"[4]";"v"
"81bd216c-e950-cd05-5af0-c7ac95ee9d0f";9;"[4]";"v"
"243b9a37-43fc-4754-e508-26643a8116f6";9;"[4]";"v"
"797b5237-73af-444a-af7c-a7a6ef4c9d66";9;"[4]";"v"
"b9279b1e-29c8-58eb-165e-0ef4ac8dc7ca";9;"[4]";"v"
"111c8e8c-6dd0-dcb1-5942-c6ad658229e5";9;"[4]";"v"
"59c61240-092a-df31-ba15-e707c3f4412c";9;"[5]";"v"
"aa2ee532-42af-88c5-bdb6-826a9bc3cf2b";9;"[5]";"v"
"917fe526-f3bc-4b49-2488-8e3ead0b3108";9;"[6]";"v"
"24fc299c-5715-79c8-bce8-7702125f5156";9;"[6]";"v"
"a5a3e60e-5865-6d0d-e917-b1d9e2f6375b";9;"[6]";"v"
"49892048-9be2-fed8-7776-446a472eb14e";9;"[6]";"v"
"766aa7a2-cc63-eb66-870e-0516671e307a";9;"[6]";"v"
